time,value
05:31:00,55
05:32:00,55
05:33:00,55
05:34:00,55
05:35:00,56
05:36:00,55
05:37:00,56
05:38:00,54
05:39:00,53
05:40:00,53
05:41:00,54
05:42:00,56
05:43:00,54
05:44:00,55
05:45:00,56
05:46:00,55
05:47:00,56
05:48:00,56
05:49:00,57
05:50:00,60
05:51:00,63
05:52:00,58
05:53:00,55
05:54:00,56
05:55:00,56
05:56:00,56
05:57:00,59
05:58:00,59
05:59:00,56
06:00:00,55
06:01:00,55
06:02:00,55
06:03:00,55
06:04:00,56
06:05:00,54
06:06:00,54
06:07:00,55
06:08:00,53
06:09:00,54
06:10:00,53
06:11:00,54
06:12:00,54
06:13:00,54
06:14:00,54
06:15:00,55
06:16:00,55
06:17:00,53
06:18:00,57
06:19:00,53
06:20:00,54
06:21:00,54
06:22:00,59
06:23:00,54
06:24:00,54
06:25:00,53
06:26:00,54
06:27:00,53
06:28:00,56
06:29:00,54
06:30:00,55
06:31:00,53
06:32:00,54
06:33:00,56
06:34:00,54
06:35:00,54
06:36:00,55
06:37:00,54
06:38:00,54
06:39:00,55
06:40:00,54
06:41:00,54
06:42:00,54
06:43:00,55
06:44:00,60
06:45:00,57
06:46:00,57
06:47:00,56
06:48:00,56
06:49:00,55
06:50:00,56
06:51:00,58
06:52:00,60
06:53:00,54
06:54:00,57
06:55:00,58
06:56:00,58
06:57:00,55
06:58:00,55
06:59:00,59
07:00:00,61
07:01:00,57
07:02:00,58
07:03:00,58
07:04:00,57
07:05:00,54
07:06:00,53
07:07:00,53
07:08:00,53
07:09:00,53
07:10:00,52
07:11:00,54
07:12:00,54
07:13:00,54
07:14:00,54
07:15:00,53
07:16:00,53
07:17:00,53
07:18:00,52
07:19:00,56
07:20:00,53
07:21:00,56
07:22:00,54
07:23:00,54
07:24:00,52
07:25:00,52
07:26:00,51
07:27:00,52
07:28:00,52
07:29:00,52
07:30:00,54
07:31:00,53
07:32:00,57
07:33:00,56
07:34:00,53
07:35:00,53
07:36:00,58
07:37:00,53
07:38:00,53
07:39:00,54
07:40:00,57
07:41:00,57
07:42:00,56
07:43:00,55
07:44:00,57
07:45:00,56
07:46:00,56
07:47:00,57
07:48:00,58
07:49:00,62
07:50:00,92
07:51:00,94
07:52:00,76
07:53:00,58
07:54:00,62
07:55:00,71
07:56:00,82
07:57:00,82
07:58:00,83
07:59:00,93
08:00:00,103
08:01:00,112
08:02:00,91
08:03:00,88
08:04:00,88
08:05:00,90
08:06:00,101
08:07:00,92
08:08:00,89
08:09:00,89
08:10:00,93
08:11:00,95
08:12:00,94
08:13:00,96
08:14:00,101
08:15:00,99
08:16:00,98
08:17:00,88
08:18:00,86
08:19:00,85
08:20:00,87
08:21:00,81
08:22:00,71
08:23:00,59
08:24:00,59
08:25:00,68
08:26:00,65
08:27:00,66
08:28:00,64
08:29:00,62
08:30:00,71
08:31:00,77
08:32:00,74
08:33:00,83
08:34:00,84
08:35:00,66
08:36:00,70
08:37:00,71
08:38:00,67
08:39:00,62
08:40:00,65
08:41:00,71
08:42:00,68
08:43:00,68
08:44:00,68
08:45:00,70
08:46:00,67
08:47:00,66
08:48:00,67
08:49:00,68
08:50:00,70
08:51:00,68
08:52:00,69
08:53:00,69
08:54:00,76
08:55:00,75
08:56:00,70
08:57:00,74
08:58:00,77
08:59:00,78
09:00:00,76
09:01:00,73
09:02:00,67
09:03:00,74
09:04:00,74
09:05:00,77
09:06:00,76
09:07:00,71
09:08:00,74
09:09:00,75
09:10:00,75
09:11:00,72
09:12:00,77
09:13:00,77
09:14:00,78
09:15:00,79
09:16:00,68
09:17:00,68
09:18:00,68
09:19:00,68
09:20:00,73
09:21:00,76
09:22:00,62
09:23:00,51
09:24:00,58
09:25:00,65
09:26:00,63
09:27:00,63
09:28:00,66
09:29:00,68
09:30:00,69
09:31:00,70
09:32:00,69
09:33:00,69
09:34:00,70
09:35:00,70
09:36:00,73
09:37:00,71
09:38:00,78
09:39:00,86
09:40:00,83
09:41:00,74
09:42:00,68
09:43:00,67
09:44:00,71
09:45:00,73
09:46:00,72
09:47:00,67
09:48:00,69
09:49:00,69
09:50:00,69
09:51:00,70
09:52:00,68
09:53:00,68
09:54:00,69
09:55:00,70
09:56:00,68
09:57:00,65
09:58:00,67
09:59:00,71
10:00:00,69
10:01:00,72
10:02:00,70
10:03:00,66
10:04:00,66
10:05:00,64
10:06:00,64
10:07:00,65
10:08:00,63
10:09:00,64
10:10:00,62
10:11:00,59
10:12:00,65
10:13:00,64
10:14:00,64
10:15:00,65
10:16:00,64
10:17:00,62
10:18:00,61
10:19:00,65
10:20:00,64
10:21:00,64
10:22:00,64
10:23:00,65
10:24:00,66
10:25:00,66
10:26:00,67
10:27:00,66
10:28:00,65
10:29:00,64
10:30:00,66
10:31:00,71
10:32:00,74
